encounter_id,dbscan,kmeans
2278392,0,0
149190,1,0
64410,2,1
500364,3,0
16680,4,0
35754,5,1
55842,6,2
63768,7,2
12522,8,2
15738,9,2
28236,4,0
36900,6,2
40926,4,0
42570,8,2
62256,6,2
73578,6,2
77076,5,0
84222,5,1
89682,7,1
148530,7,2
150006,5,0
150048,6,1
182796,7,2
183930,8,2
216156,7,1
221634,5,1
236316,8,2
248916,5,1
250872,2,0
252822,8,2
253380,6,2
253722,7,2
260166,7,1
293058,6,1
293118,7,2
325848,6,2
325866,7,1
326028,6,1
358776,7,2
377268,5,0
383430,7,1
419304,4,0
421194,7,2
449142,5,0
450210,8,2
464994,4,1
486156,7,1
498030,7,1
537834,5,0
544194,6,2
550098,5,0
584136,7,2
590346,4,0
591996,5,0
604188,6,2
623880,6,2
630342,5,0
654918,4,0
669954,8,2
676416,7,1
676422,7,2
679722,5,0
682494,4,0
685086,8,2
712350,5,0
713268,9,2
715086,1,0
792402,8,1
796152,5,1
833424,5,0
870294,7,2
881016,5,0
922080,6,1
927786,7,1
955884,7,1
961464,7,2
964548,6,2
1050294,6,2
1069716,5,0
1070256,5,0
1072554,7,1
1077924,5,0
1079592,5,0
1110420,6,2
1115640,6,2
1119858,4,0
1136472,4,0
1139226,6,1
1157454,6,2
1157574,4,0
1161024,7,1
1185942,7,2
1186980,4,0
1193868,5,1
1194678,6,2
1195056,7,1
1195548,7,2
1212006,7,2
1257282,5,0
1260216,3,0
1260312,7,2
1260894,6,2
1262736,3,0
1270524,6,2
1274802,7,1
1414158,8,1
1445010,5,0
1455252,8,1
1517730,6,1
1668252,5,0
1676676,5,0
1686690,6,2
1759458,4,0
1802280,7,2
1810752,7,2
1880598,3,0
1881372,6,2
1968528,7,2
2040360,6,2
2087382,6,2
2087892,7,2
2088630,4,0
2091690,4,0
2092362,7,2
2092848,5,0
2095932,3,0
2135022,8,2
2139660,3,0
2140146,2,0
2223336,6,2
2226870,5,0
2228292,6,1
2262036,6,2
2265486,7,2
2267052,9,2
2292606,7,2
2294130,6,2
2298006,6,2
2300958,5,0
2302170,8,2
2305260,3,0
2305632,6,2
2309268,8,2
2309376,2,0
2311404,9,2
2313120,5,0
2356308,5,0
2363592,5,1
2371176,5,1
2373468,7,2
2398146,6,1
2422806,4,0
2429610,5,0
2430276,7,2
2459892,5,0
2466036,6,2
2473188,6,2
2473668,5,1
2474778,6,1
2476920,8,2
2478690,8,2
2478978,5,0
2521974,8,2
2523660,5,1
2524134,8,2
2524314,4,0
2527092,8,2
2530254,3,1
2532486,5,0
2538204,5,0
2548314,6,2
2548842,6,2
2549268,7,1
2549826,5,0
2551236,7,2
2552952,7,2
2553282,8,2
2562210,4,0
2563734,7,2
2565846,4,0
2567256,4,0
2569692,7,2
2569794,5,0
2570172,5,1
2577756,6,2
2584908,7,2
2586528,8,2
2587620,4,0
2588250,4,0
2594658,7,2
2594700,7,2
2595384,2,0
2595612,4,0
2599620,6,1
2600796,2,0
2601576,6,1
2602860,6,2
2629110,4,0
2638410,3,0
2652750,2,0
2655870,6,2
2660244,7,2
2663004,7,2
2664138,6,2
2671290,1,1
2674350,6,2
2674482,4,0
2677470,8,1
2680044,5,0
2706618,5,0
2724570,6,2
2730936,5,1
2732148,7,1
2732424,6,2
2735352,7,2
2735898,5,1
2735964,0,0
2736744,7,2
2736798,7,1
2738358,6,1
2745456,5,0
2789766,6,2
2790720,8,2
2791716,7,2
2792280,5,0
2798190,8,2
2799012,6,1
2802432,7,1
2806932,5,0
2808240,7,2
2811000,5,0
2812446,5,0
2817642,1,0
2824680,6,2
2830938,6,1
2837574,8,2
2842320,4,0
2843922,7,2
2852430,7,2
2855388,7,2
2862930,5,0
2865816,4,0
2866344,7,2
2867850,8,2
2868276,5,1
2869680,7,2
2874540,6,2
2881794,7,2
2896332,8,2
2913624,1,0
2922318,6,2
2922522,7,1
2922720,6,1
2926554,7,1
2927544,7,2
2928240,8,2
2929944,5,1
2930886,6,2
2935362,2,0
2938614,6,2
2939256,6,1
2941296,3,0
2941434,5,0
2948334,3,0
2949804,5,0
2951364,8,2
2952726,8,2
2955354,6,1
2957580,7,2
2967810,6,2
2968386,0,0
2970666,5,0
2972052,7,1
3001770,5,0
3005748,5,0
3006750,6,2
3030000,5,0
3039162,1,0
3043188,7,2
3043686,5,0
3043728,7,2
3044688,7,2
3045732,3,1
3048198,1,0
3048516,8,2
3051324,4,0
3052140,3,0
3075540,7,2
3077586,6,2
3083802,3,0
3086520,6,1
3092106,5,0
3105624,7,2
3105702,7,2
3108096,0,0
3113952,7,2
3115770,7,2
3118128,6,2
3118806,4,0
3119718,5,0
3120912,5,0
3148422,7,2
3148872,3,0
3152880,2,0
3156462,2,0
3170268,8,2
3171708,6,2
3174918,6,2
3175806,5,1
3183870,4,0
3184194,8,2
3185130,7,2
3185160,7,2
3185682,8,1
3185730,4,0
3186846,5,1
3187926,6,2
3242274,7,2
3247932,7,2
3251226,7,2
3251232,5,0
3251994,7,1
3252690,5,0
3253836,6,2
3277446,7,2
3291906,6,2
3299892,5,0
3301014,7,1
3302454,7,1
3314976,3,0
3315732,8,2
3320148,3,0
3325074,7,2
3328212,6,1
3328332,6,2
3330822,8,2
3331848,-1,0
3334290,6,2
3335544,5,0
3339828,7,2
3339876,4,1
3358950,6,2
3360276,7,2
3373998,6,2
3388536,6,2
3393054,7,1
3413016,9,1
3413064,7,2
3413148,4,0
3413556,6,2
3413892,5,0
3414078,8,2
3414192,5,0
3414750,3,0
3417978,8,2
3418590,7,2
3419166,7,2
3460704,7,1
3465762,7,2
3471966,6,1
3478770,5,0
3479946,6,2
3482724,5,1
3483090,5,0
3487032,6,1
3489684,6,2
3507642,7,2
3511230,2,0
3530574,5,1
3547464,5,0
3557748,1,0
3560988,6,2
3563736,2,0
3564084,2,0
3565002,7,2
3590394,7,2
3595830,7,2
3598680,6,2
3599982,5,0
3600198,4,0
3607776,6,2
3616560,7,2
3616710,4,0
3625566,6,2
3628932,5,0
3629472,6,2
3634938,4,0
3673536,7,2
3677814,3,0
3684690,7,1
3686592,4,0
3686640,6,2
3692532,1,0
3693342,7,2
3699204,5,0
3699894,5,0
3706656,2,0
3711330,8,2
3712704,4,0
3712746,5,0
3712782,5,0
3714534,8,1
3725712,5,0
3753906,3,0
3759678,7,2
3769290,4,0
3773286,7,2
3775698,8,2
3777042,6,2
3780702,4,1
3781500,4,0
3782454,5,0
3783138,8,2
3783156,4,0
3783912,7,2
3786414,4,0
3787566,7,1
3828228,4,0
3830268,7,2
3830322,6,2
3833994,8,2
3844308,6,1
3851616,8,2
3861774,5,0
3861894,8,2
3863238,1,0
3863700,6,2
3880440,8,2
3894402,5,1
3894828,4,0
3896568,8,1
3902532,2,0
3914808,5,0
3916122,6,2
3917364,5,0
3921864,6,1
3923562,8,2
3930396,7,2
3936438,7,1
3936462,7,2
3936522,6,2
3937374,6,2
3973368,6,2
3974694,1,0
3977208,8,2
3982836,6,1
3983004,1,0
3986274,5,0
3988380,7,1
3996996,7,2
4027362,8,2
4039038,5,0
4057452,6,2
4063908,7,1
4064748,7,2
4065138,1,0
